slug;produit;univers;categorie;sous_categorie;image_principale;photo_studio_categorie;autres_studios_non_servis;pdfs;route_fiche;route_catalogue;statut
tube-rectangle-de-60x40x3mm-en-aluminium;Tube rectangle de 60x40x3mm en aluminium;aluminium;/aluminium/tubes/tube-rectangulaire;Tubes;/images/produits/aluminium/tubes/tube-rectangulaire/tube-rectangle-de-60x40x3mm-en-aluminium-caracteristiques.webp;/images/produits/aluminium/tubes/tube-rectangulaire/studio-aluminium-tube-rectangulaire.webp;;;/p/tube-rectangle-de-60x40x3mm-en-aluminium;/catalogue/aluminium#aluminium-tubes-tube-rectangulaire;VALIDÉ
tube-rond-101-6x3-65mm-en-acier-brut-serie-legere;Tube rond 101,6x3,65mm en acier brut série légère;acier;/acier/tubes/tube-rond;Tubes;/images/produits/acier/tubes/tube-rond/tube-rond-101-6x3-65mm-en-acier-brut-serie-legere-caracteristiques.webp;/images/produits/acier/tubes/tube-rond/studio-tube-rond.webp;;/documents/fiche-technique-tube-rond-acier.pdf;/p/tube-rond-101-6x3-65mm-en-acier-brut-serie-legere;/catalogue/acier#acier-tubes-tube-rond;VALIDÉ
tube-rond-114-3x3-65mm-en-acier-brut-serie-legere;Tube rond 114,3x3,65mm en acier brut série légère;acier;/acier/tubes/tube-rond;Tubes;/images/produits/acier/tubes/tube-rond/tube-rond-114-3x3-65mm-en-acier-brut-serie-legere-caracteristiques.webp;/images/produits/acier/tubes/tube-rond/studio-tube-rond.webp;;/documents/fiche-technique-tube-rond-acier.pdf;/p/tube-rond-114-3x3-65mm-en-acier-brut-serie-legere;/catalogue/acier#acier-tubes-tube-rond;VALIDÉ
tube-rond-17-2-18-x2mm-en-acier-brut-serie-legere;Tube rond 17,2(18)x2mm en acier brut série légère;acier;/acier/tubes/tube-rond;Tubes;/images/produits/acier/tubes/tube-rond/tube-rond-17-2-18-x2mm-en-acier-brut-serie-legere-caracteristiques.webp;/images/produits/acier/tubes/tube-rond/studio-tube-rond.webp;;/documents/fiche-technique-tube-rond-acier.pdf;/p/tube-rond-17-2-18-x2mm-en-acier-brut-serie-legere;/catalogue/acier#acier-tubes-tube-rond;VALIDÉ
tube-rond-17-2x2mm-en-inox-304;Tube rond 17,2x2mm en Inox 304;inox;/inox/tubes/tube-rond;Tubes;/images/produits/inox/tubes/tube-rond/tube-rond-17-2x2mm-en-inox-304-caracteristiques.webp;/images/produits/inox/tubes/tube-rond/studio-inox-tube-rond.webp;;;/p/tube-rond-17-2x2mm-en-inox-304;/catalogue/inox#inox-tubes-tube-rond;VALIDÉ
tube-rond-21-3x2mm-en-acier-brut-serie-legere;Tube rond 21,3x2mm en acier brut série légère;acier;/acier/tubes/tube-rond;Tubes;/images/produits/acier/tubes/tube-rond/tube-rond-21-3x2mm-en-acier-brut-serie-legere-caracteristiques.webp;/images/produits/acier/tubes/tube-rond/studio-tube-rond.webp;;/documents/fiche-technique-tube-rond-acier.pdf;/p/tube-rond-21-3x2mm-en-acier-brut-serie-legere;/catalogue/acier#acier-tubes-tube-rond;VALIDÉ
tube-rond-21-3x2mm-en-inox-304;Tube rond 21,3x2mm en Inox 304;inox;/inox/tubes/tube-rond;Tubes;/images/produits/inox/tubes/tube-rond/tube-rond-21-3x2mm-en-inox-304-caracteristiques.webp;/images/produits/inox/tubes/tube-rond/studio-inox-tube-rond.webp;;;/p/tube-rond-21-3x2mm-en-inox-304;/catalogue/inox#inox-tubes-tube-rond;VALIDÉ
tube-rond-26-9x2-5mm-en-acier-brut-serie-legere;Tube rond 26,9x2,5mm en acier brut série légère;acier;/acier/tubes/tube-rond;Tubes;/images/produits/acier/tubes/tube-rond/tube-rond-26-9x2-5mm-en-acier-brut-serie-legere-caracteristiques.webp;/images/produits/acier/tubes/tube-rond/studio-tube-rond.webp;;/documents/fiche-technique-tube-rond-acier.pdf;/p/tube-rond-26-9x2-5mm-en-acier-brut-serie-legere;/catalogue/acier#acier-tubes-tube-rond;VALIDÉ
tube-rond-26-9x2mm-en-inox-304;Tube rond 26,9x2mm en Inox 304;inox;/inox/tubes/tube-rond;Tubes;/images/produits/inox/tubes/tube-rond/tube-rond-26-9x2mm-en-inox-304-caracteristiques.webp;/images/produits/inox/tubes/tube-rond/studio-inox-tube-rond.webp;;;/p/tube-rond-26-9x2mm-en-inox-304;/catalogue/inox#inox-tubes-tube-rond;VALIDÉ
tube-rond-33-7x2-5mm-en-acier-brut-serie-legere;Tube rond 33,7x2,5mm en acier brut série légère;acier;/acier/tubes/tube-rond;Tubes;/images/produits/acier/tubes/tube-rond/tube-rond-33-7x2-5mm-en-acier-brut-serie-legere-caracteristiques.webp;/images/produits/acier/tubes/tube-rond/studio-tube-rond.webp;;/documents/fiche-technique-tube-rond-acier.pdf;/p/tube-rond-33-7x2-5mm-en-acier-brut-serie-legere;/catalogue/acier#acier-tubes-tube-rond;VALIDÉ
tube-rond-33-7x2mm-en-inox-304;Tube rond 33,7x2mm en Inox 304;inox;/inox/tubes/tube-rond;Tubes;/images/produits/inox/tubes/tube-rond/tube-rond-33-7x2mm-en-inox-304-caracteristiques.webp;/images/produits/inox/tubes/tube-rond/studio-inox-tube-rond.webp;;;/p/tube-rond-33-7x2mm-en-inox-304;/catalogue/inox#inox-tubes-tube-rond;VALIDÉ
tube-rond-42-4x2-5mm-en-acier-brut-serie-legere;Tube rond 42,4x2,5mm en acier brut série légère;acier;/acier/tubes/tube-rond;Tubes;/images/produits/acier/tubes/tube-rond/tube-rond-42-4x2-5mm-en-acier-brut-serie-legere-caracteristiques.webp;/images/produits/acier/tubes/tube-rond/studio-tube-rond.webp;;/documents/fiche-technique-tube-rond-acier.pdf;/p/tube-rond-42-4x2-5mm-en-acier-brut-serie-legere;/catalogue/acier#acier-tubes-tube-rond;VALIDÉ
tube-rond-42-4x2mm-en-inox-304;Tube rond 42,4x2mm en Inox 304;inox;/inox/tubes/tube-rond;Tubes;/images/produits/inox/tubes/tube-rond/tube-rond-42-4x2mm-en-inox-304-caracteristiques.webp;/images/produits/inox/tubes/tube-rond/studio-inox-tube-rond.webp;;;/p/tube-rond-42-4x2mm-en-inox-304;/catalogue/inox#inox-tubes-tube-rond;VALIDÉ
tube-rond-48-3x2mm-en-inox-304;Tube rond 48,3x2mm en Inox 304;inox;/inox/tubes/tube-rond;Tubes;/images/produits/inox/tubes/tube-rond/tube-rond-48-3x2mm-en-inox-304-caracteristiques.webp;/images/produits/inox/tubes/tube-rond/studio-inox-tube-rond.webp;;;/p/tube-rond-48-3x2mm-en-inox-304;/catalogue/inox#inox-tubes-tube-rond;VALIDÉ
tube-rond-48-3x3mm-en-acier-brut-serie-legere;Tube rond 48,3x3mm en acier brut série légère;acier;/acier/tubes/tube-rond;Tubes;/images/produits/acier/tubes/tube-rond/tube-rond-48-3x3mm-en-acier-brut-serie-legere-caracteristiques.webp;/images/produits/acier/tubes/tube-rond/studio-tube-rond.webp;;/documents/fiche-technique-tube-rond-acier.pdf;/p/tube-rond-48-3x3mm-en-acier-brut-serie-legere;/catalogue/acier#acier-tubes-tube-rond;VALIDÉ
tube-rond-60-3x2mm-en-inox-304;Tube rond 60,3x2mm en Inox 304;inox;/inox/tubes/tube-rond;Tubes;/images/produits/inox/tubes/tube-rond/tube-rond-60-3x2mm-en-inox-304-caracteristiques.webp;/images/produits/inox/tubes/tube-rond/studio-inox-tube-rond.webp;;;/p/tube-rond-60-3x2mm-en-inox-304;/catalogue/inox#inox-tubes-tube-rond;VALIDÉ
tube-rond-60-3x3mm-en-acier-brut-serie-legere;Tube rond 60,3x3mm en acier brut série légère;acier;/acier/tubes/tube-rond;Tubes;/images/produits/acier/tubes/tube-rond/tube-rond-60-3x3mm-en-acier-brut-serie-legere-caracteristiques.webp;/images/produits/acier/tubes/tube-rond/studio-tube-rond.webp;;/documents/fiche-technique-tube-rond-acier.pdf;/p/tube-rond-60-3x3mm-en-acier-brut-serie-legere;/catalogue/acier#acier-tubes-tube-rond;VALIDÉ
tube-rond-76-1x2mm-en-inox-304;Tube rond 76,1x2mm en Inox 304;inox;/inox/tubes/tube-rond;Tubes;/images/produits/inox/tubes/tube-rond/tube-rond-76-1x2mm-en-inox-304-caracteristiques.webp;/images/produits/inox/tubes/tube-rond/studio-inox-tube-rond.webp;;;/p/tube-rond-76-1x2mm-en-inox-304;/catalogue/inox#inox-tubes-tube-rond;VALIDÉ
tube-rond-76-1x3-25mm-en-acier-brut-serie-legere;Tube rond 76,1x3,25mm en acier brut série légère;acier;/acier/tubes/tube-rond;Tubes;/images/produits/acier/tubes/tube-rond/tube-rond-76-1x3-25mm-en-acier-brut-serie-legere-caracteristiques.webp;/images/produits/acier/tubes/tube-rond/studio-tube-rond.webp;;/documents/fiche-technique-tube-rond-acier.pdf;/p/tube-rond-76-1x3-25mm-en-acier-brut-serie-legere;/catalogue/acier#acier-tubes-tube-rond;VALIDÉ
tube-rond-88-9x3-00mm-en-acier-brut-serie-legere;Tube rond 88,9x3,00mm en acier brut série légère;acier;/acier/tubes/tube-rond;Tubes;/images/produits/acier/tubes/tube-rond/tube-rond-88-9x3-00mm-en-acier-brut-serie-legere-caracteristiques.webp;/images/produits/acier/tubes/tube-rond/studio-tube-rond.webp;;/documents/fiche-technique-tube-rond-acier.pdf;/p/tube-rond-88-9x3-00mm-en-acier-brut-serie-legere;/catalogue/acier#acier-tubes-tube-rond;VALIDÉ
